Item,period_day,weekday_weekend
Medialuna,morning,weekend
Jam,morning,weekend
Sandwich,morning,weekend
Tea,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Farm House,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Toast,morning,weekend
Scandinavian,morning,weekend
Farm House,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Bread,morning,weekend
Cake,morning,weekend
Pastry,morning,weekend
Coffee,morning,weekend
Brownie,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Tea,morning,weekend
Scone,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Tea,morning,weekend
Coffee,morning,weekend
Scone,morning,weekend
Farm House,morning,weekend
Scandinavian,morning,weekend
Vegan mincepie,morning,weekend
Cake,morning,weekend
Tea,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Scandinavian,morning,weekend
Bread,morning,weekend
Tea,afternoon,weekend
Bread,afternoon,weekend
Medialuna,afternoon,weekend
Pastry,afternoon,weekend
Coffee,afternoon,weekend
Truffles,afternoon,weekend
Juice,afternoon,weekend
Coffee,afternoon,weekend
Jammie Dodgers,afternoon,weekend
Art Tray,afternoon,weekend
Frittata,afternoon,weekend
Bread,afternoon,weekend
Sandwich,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Juice,afternoon,weekend
Tea,afternoon,weekend
Sandwich,afternoon,weekend
Jam,afternoon,weekend
Scone,afternoon,weekend
Coffee,afternoon,weekend
Sandwich,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Tea,afternoon,weekend
Frittata,afternoon,weekend
Tea,afternoon,weekend
Bread,afternoon,weekend
Scandinavian,afternoon,weekend
Sandwich,afternoon,weekend
Art Tray,afternoon,weekend
Truffles,afternoon,weekend
Coffee,afternoon,weekend
Scone,afternoon,weekend
Frittata,afternoon,weekend
Juice,afternoon,weekend
Tea,afternoon,weekend
Coffee,afternoon,weekend
Mineral water,afternoon,weekend
Frittata,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Brownie,afternoon,weekend
Scone,afternoon,weekend
Coffee,afternoon,weekend
Frittata,afternoon,weekend
Sandwich,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Vegan mincepie,afternoon,weekend
Coffee,afternoon,weekend
Hot chocolate,afternoon,weekend
Juice,afternoon,weekend
Cake,afternoon,weekend
Tea,afternoon,weekend
Tea,afternoon,weekend
Bread,afternoon,weekend
Farm House,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Bread,afternoon,weekend
Mineral water,afternoon,weekend
Scone,afternoon,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Hot chocolate,afternoon,weekend
Hot chocolate,afternoon,weekend
Coke,afternoon,weekend
Sandwich,afternoon,weekend
Sandwich,afternoon,weekend
Mineral water,afternoon,weekend
Hot chocolate,afternoon,weekend
Tea,afternoon,weekend
Cake,afternoon,weekend
Scandinavian,afternoon,weekend
Frittata,afternoon,weekend
Cake,afternoon,weekend
Cake,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Bread,afternoon,weekend
Scone,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Jam,evening,weekend
Bread,morning,weekend
Coffee,morning,weekend
Medialuna,morning,weekend
Bread,morning,weekend
Farm House,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Pastry,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Medialuna,morning,weekend
Coffee,morning,weekend
Scone,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Coke,morning,weekend
Coffee,morning,weekend
Truffles,morning,weekend
Bread,morning,weekend
Mineral water,morning,weekend
Hot chocolate,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Toast,morning,weekend
Medialuna,morning,weekend
Alfajores,morning,weekend
Fudge,morning,weekend
Jam,morning,weekend
Medialuna,morning,weekend
Bakewell,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Toast,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Bakewell,morning,weekend
Medialuna,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Farm House,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Scone,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Farm House,afternoon,weekend
Coffee,afternoon,weekend
Medialuna,afternoon,weekend
Bread,afternoon,weekend
Smoothies,afternoon,weekend
Coffee,afternoon,weekend
Medialuna,afternoon,weekend
Coffee,afternoon,weekend
Mineral water,afternoon,weekend
Bread,afternoon,weekend
Mineral water,afternoon,weekend
Hot chocolate,afternoon,weekend
Sandwich,afternoon,weekend
Tea,afternoon,weekend
Coffee,afternoon,weekend
Cookies,afternoon,weekend
Alfajores,afternoon,weekend
Alfajores,afternoon,weekend
Vegan mincepie,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Medialuna,afternoon,weekend
Coffee,afternoon,weekend
Frittata,afternoon,weekend
Toast,afternoon,weekend
Coffee,afternoon,weekend
Hot chocolate,afternoon,weekend
Muffin,afternoon,weekend
Coffee,afternoon,weekend
Scandinavian,afternoon,weekend
Bakewell,afternoon,weekend
Tea,afternoon,weekend
Coffee,afternoon,weekend
Frittata,afternoon,weekend
Coffee,afternoon,weekend
Scandinavian,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Scandinavian,afternoon,weekend
Bread,afternoon,weekend
Tea,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Medialuna,morning,weekday
Pastry,morning,weekday
Toast,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Toast,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Coffee,morning,weekday
Hot chocolate,morning,weekday
Toast,morning,weekday
Coffee,morning,weekday
Sandwich,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Bakewell,morning,weekday
Alfajores,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Cake,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bakewell,morning,weekday
Cake,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Medialuna,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Vegan mincepie,morning,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Vegan mincepie,afternoon,weekday
Cake,afternoon,weekday
Bread,afternoon,weekday
Sandwich,afternoon,weekday
Pastry,afternoon,weekday
Bread,afternoon,weekday
Cake,afternoon,weekday
Vegan mincepie,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Mineral water,afternoon,weekday
Mineral water,afternoon,weekday
Jam,afternoon,weekday
Bread,afternoon,weekday
Frittata,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Sandwich,afternoon,weekday
Sandwich,afternoon,weekday
Bread,afternoon,weekday
Truffles,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Toast,afternoon,weekday
Coffee,afternoon,weekday
Cake,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Fudge,afternoon,weekday
Jam,afternoon,weekday
Jam,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Hot chocolate,afternoon,weekday
Vegan mincepie,afternoon,weekday
Bread,afternoon,weekday
Juice,afternoon,weekday
Cake,afternoon,weekday
Jammie Dodgers,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Vegan mincepie,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Pastry,afternoon,weekday
Scandinavian,morning,weekday
Vegan mincepie,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Fudge,morning,weekday
Jam,morning,weekday
Fudge,morning,weekday
Fudge,morning,weekday
Jam,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Cookies,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Art Tray,morning,weekday
Tea,morning,weekday
Tea,morning,weekday
Toast,morning,weekday
Coke,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bakewell,morning,weekday
Farm House,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Alfajores,morning,weekday
Hot chocolate,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Toast,morning,weekday
Scandinavian,morning,weekday
Bread,morning,weekday
Vegan mincepie,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Alfajores,morning,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Medialuna,afternoon,weekday
Coffee,afternoon,weekday
Frittata,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Tea,afternoon,weekday
Bakewell,afternoon,weekday
Farm House,afternoon,weekday
Coffee,afternoon,weekday
Pastry,afternoon,weekday
Medialuna,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Coffee,afternoon,weekday
Medialuna,afternoon,weekday
Coffee,afternoon,weekday
Pastry,afternoon,weekday
Muffin,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bakewell,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Alfajores,afternoon,weekday
Bread,afternoon,weekday
Truffles,afternoon,weekday
Coffee,afternoon,weekday
Truffles,afternoon,weekday
Scandinavian,afternoon,weekday
Tea,afternoon,weekday
Cake,afternoon,weekday
Jam,afternoon,weekday
Fudge,evening,weekday
Jam,evening,weekday
Jam,evening,weekday
Bread,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Toast,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Fudge,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Farm House,morning,weekday
Medialuna,morning,weekday
Muffin,morning,weekday
Coffee,morning,weekday
Juice,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Muffin,morning,weekday
Vegan mincepie,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Alfajores,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Medialuna,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Bread,afternoon,weekday
Farm House,afternoon,weekday
Bread,afternoon,weekday
Alfajores,afternoon,weekday
Coffee,afternoon,weekday
Jam,afternoon,weekday
Coffee,afternoon,weekday
Pastry,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Toast,afternoon,weekday
Coffee,afternoon,weekday
Coke,afternoon,weekday
Truffles,afternoon,weekday
Sandwich,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Coke,afternoon,weekday
Bread,afternoon,weekday
Sandwich,afternoon,weekday
Bread,afternoon,weekday
Juice,afternoon,weekday
Bread,afternoon,weekday
Art Tray,afternoon,weekday
Toast,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Alfajores,afternoon,weekday
Hot chocolate,afternoon,weekday
Hot chocolate,afternoon,weekday
Toast,afternoon,weekday
Pastry,afternoon,weekday
Sandwich,afternoon,weekday
Tea,afternoon,weekday
Juice,afternoon,weekday
Vegan mincepie,afternoon,weekday
Bread,afternoon,weekday
Alfajores,afternoon,weekday
Muffin,afternoon,weekday
Coffee,afternoon,weekday
Jammie Dodgers,afternoon,weekday
Jammie Dodgers,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Jammie Dodgers,afternoon,weekday
Cake,afternoon,weekday
Bread,afternoon,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Alfajores,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Toast,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Hot chocolate,morning,weekday
Bread,morning,weekday
Pastry,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Hot chocolate,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Dulce de Leche,morning,weekday
Pastry,morning,weekday
Farm House,morning,weekday
Bread,morning,weekday
Vegan mincepie,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Hot chocolate,morning,weekday
Pastry,morning,weekday
Coffee,afternoon,weekday
Vegan mincepie,afternoon,weekday
Pastry,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Hot chocolate,afternoon,weekday
Bread,afternoon,weekday
Sandwich,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Hot chocolate,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Coke,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Fudge,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Sandwich,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Hot chocolate,afternoon,weekday
Fudge,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Cookies,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Alfajores,afternoon,weekday
Tea,afternoon,weekday
Bare Popcorn,evening,weekday
Ella's Kitchen Pouches,evening,weekday
Farm House,evening,weekday
Bread,evening,weekday
Fudge,evening,weekday
Pastry,evening,weekday
Hot chocolate,evening,weekday
Tea,evening,weekday
Vegan mincepie,evening,weekday
Jammie Dodgers,evening,weekday
Coffee,evening,weekday
Medialuna,evening,weekday
Coffee,evening,weekday
Hot chocolate,evening,weekday
Coffee,evening,weekday
Bread,evening,weekday
Vegan mincepie,evening,weekday
Medialuna,morning,weekday
Dulce de Leche,morning,weekday
Muesli,morning,weekday
Muesli,morning,weekday
Coffee,morning,weekday
Jam,morning,weekday
Jam,morning,weekday
Bread,morning,weekday
Toast,morning,weekday
Bread,morning,weekday
Toast,morning,weekday
Coffee,morning,weekday
Jammie Dodgers,morning,weekday
Vegan mincepie,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Juice,morning,weekday
Farm House,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Cookies,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Toast,morning,weekday
Pastry,morning,weekday
Tea,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Toast,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Pastry,morning,weekday
Bread,morning,weekday
Scandinavian,morning,weekday
Coffee,morning,weekday
Alfajores,morning,weekday
Truffles,morning,weekday
Ella's Kitchen Pouches,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Fudge,morning,weekday
Fudge,morning,weekday
Jam,morning,weekday
Juice,morning,weekday
Ella's Kitchen Pouches,morning,weekday
Cake,morning,weekday
Bread,morning,weekday
Cookies,morning,weekday
Coffee,morning,weekday
Cake,morning,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Toast,afternoon,weekday
Truffles,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Truffles,afternoon,weekday
Toast,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Cookies,afternoon,weekday
Sandwich,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Sandwich,afternoon,weekday
Alfajores,afternoon,weekday
Scone,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
Alfajores,afternoon,weekday
Vegan mincepie,afternoon,weekday
Fudge,afternoon,weekday
Jam,afternoon,weekday
Coffee,afternoon,weekday
Pastry,afternoon,weekday
Jam,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Bread,afternoon,weekday
Bread,afternoon,weekday
Fudge,afternoon,weekday
Bread,afternoon,weekday
Sandwich,afternoon,weekday
Farm House,afternoon,weekday
Coffee,afternoon,weekday
Jam,afternoon,weekday
Jam,afternoon,weekday
Brownie,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Sandwich,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Sandwich,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Tea,afternoon,weekday
Brownie,afternoon,weekday
Jam,afternoon,weekday
Jam,afternoon,weekday
Cookies,afternoon,weekday
Sandwich,afternoon,weekday
Juice,afternoon,weekday
Tea,afternoon,weekday
Pastry,afternoon,weekday
Farm House,afternoon,weekday
Scone,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Vegan mincepie,afternoon,weekday
Bread,afternoon,weekday
Scone,afternoon,weekday
Farm House,afternoon,weekday
Scone,afternoon,weekday
Coffee,afternoon,weekday
Brownie,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Tea,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Coffee,evening,weekday
Coffee,evening,weekday
Coffee,evening,weekday
Alfajores,evening,weekday
Farm House,morning,weekend
Medialuna,morning,weekend
Pastry,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Pastry,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Pastry,morning,weekend
Medialuna,morning,weekend
Fudge,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Scone,morning,weekend
Juice,morning,weekend
Coffee,morning,weekend
Tea,morning,weekend
Scone,morning,weekend
Lemon and coconut,morning,weekend
Jam,morning,weekend
Cookies,morning,weekend
Fudge,morning,weekend
Bread,morning,weekend
Scandinavian,morning,weekend
Coffee,morning,weekend
Cookies,morning,weekend
Juice,morning,weekend
Hot chocolate,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Vegan mincepie,morning,weekend
Jam,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Dulce de Leche,morning,weekend
Scandinavian,morning,weekend
Alfajores,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Pastry,morning,weekend
Medialuna,morning,weekend
Farm House,morning,weekend
Hot chocolate,morning,weekend
Scone,morning,weekend
Fudge,morning,weekend
Jam,morning,weekend
Bread,morning,weekend
Farm House,morning,weekend
Coffee,morning,weekend
The Nomad,morning,weekend
Vegan mincepie,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Scone,morning,weekend
Cake,morning,weekend
Bread,morning,weekend
Vegan mincepie,morning,weekend
Cake,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Medialuna,morning,weekend
Bread,morning,weekend
Jam,afternoon,weekend
Medialuna,afternoon,weekend
Pastry,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Scone,afternoon,weekend
Bread,afternoon,weekend
The Nomad,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Bread,afternoon,weekend
Frittata,afternoon,weekend
Tea,afternoon,weekend
Tea,afternoon,weekend
Coffee,afternoon,weekend
Vegan mincepie,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Scone,afternoon,weekend
Coffee,afternoon,weekend
Farm House,afternoon,weekend
Frittata,afternoon,weekend
Cookies,afternoon,weekend
Farm House,afternoon,weekend
Farm House,afternoon,weekend
Jam,afternoon,weekend
Fudge,afternoon,weekend
Coffee,afternoon,weekend
Frittata,afternoon,weekend
Sandwich,afternoon,weekend
Bread,afternoon,weekend
Alfajores,afternoon,weekend
Medialuna,afternoon,weekend
Fudge,afternoon,weekend
Cake,afternoon,weekend
Juice,afternoon,weekend
Cookies,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Pastry,afternoon,weekend
Hot chocolate,afternoon,weekend
Tea,afternoon,weekend
Crisps,afternoon,weekend
Bread,afternoon,weekend
Cake,afternoon,weekend
Focaccia,afternoon,weekend
Tea,afternoon,weekend
Tea,afternoon,weekend
Scone,afternoon,weekend
Coffee,afternoon,weekend
Scone,afternoon,weekend
Cake,afternoon,weekend
Vegan mincepie,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Vegan mincepie,afternoon,weekend
Focaccia,evening,weekend
Coke,evening,weekend
Pintxos,evening,weekend
Pintxos,evening,weekend
Juice,evening,weekend
Coke,evening,weekend
Pintxos,evening,weekend
Pintxos,evening,weekend
Pintxos,evening,weekend
Coke,evening,weekend
Pintxos,evening,weekend
Hot chocolate,night,weekend
Hot chocolate,night,weekend
Medialuna,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Cookies,morning,weekend
Bread,morning,weekend
Toast,morning,weekend
Coffee,morning,weekend
Brownie,morning,weekend
Medialuna,morning,weekend
Hot chocolate,morning,weekend
Coffee,morning,weekend
Brownie,morning,weekend
Tea,morning,weekend
Hot chocolate,morning,weekend
Tea,morning,weekend
Scone,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Hot chocolate,morning,weekend
Coffee,morning,weekend
Pastry,morning,weekend
Scone,morning,weekend
Muesli,morning,weekend
The Nomad,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Fudge,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Brownie,afternoon,weekend
Vegan mincepie,afternoon,weekend
Dulce de Leche,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Farm House,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Brownie,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Hot chocolate,afternoon,weekend
Vegan mincepie,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Frittata,afternoon,weekend
Medialuna,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Juice,afternoon,weekend
Mineral water,afternoon,weekend
Medialuna,afternoon,weekend
Crisps,afternoon,weekend
Frittata,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Cookies,afternoon,weekend
Bread,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Cake,afternoon,weekend
Bread,afternoon,weekend
Dulce de Leche,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Hot chocolate,afternoon,weekend
Bread,afternoon,weekend
Coke,afternoon,weekend
Fudge,afternoon,weekend
Fudge,afternoon,weekend
Tea,afternoon,weekend
Juice,afternoon,weekend
Cake,afternoon,weekend
Tartine,afternoon,weekend
Brownie,afternoon,weekend
Medialuna,afternoon,weekend
Hot chocolate,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Bread,afternoon,weekend
Coffee,afternoon,weekend
Hot chocolate,afternoon,weekend
Coffee,afternoon,weekend
Cookies,afternoon,weekend
Vegan mincepie,afternoon,weekend
Coffee,morning,weekday
Medialuna,morning,weekday
Cookies,morning,weekday
Hot chocolate,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Hot chocolate,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Medialuna,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Pastry,morning,weekday
Medialuna,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Hot chocolate,morning,weekday
Fudge,morning,weekday
Jam,morning,weekday
Fudge,morning,weekday
Fudge,morning,weekday
Hot chocolate,morning,weekday
Smoothies,morning,weekday
Bread,morning,weekday
Cookies,morning,weekday
Cookies,morning,weekday
Coffee,morning,weekday
Tea,morning,weekday
Toast,morning,weekday
Brownie,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Farm House,morning,weekday
Tea,morning,weekday
Bread,morning,weekday
Bread,morning,weekday
Coffee,morning,weekday
Coffee,morning,weekday
Bread,morning,weekday
Tea,morning,weekday
Coffee,morning,weekday
Coffee,afternoon,weekday
Fudge,afternoon,weekday
Brownie,afternoon,weekday
Coffee,afternoon,weekday
Coffee,afternoon,weekday
Bread,afternoon,weekday
Coffee,afternoon,weekday
